/* DATA DESCRIPTION:
THIS IS PRELIMINARY RAW DATA! DO NOT USE IN PUBLICATIONS!
FOR PUBLICATIONS VISIT WWW.PANGAEA.DE TO FIND THE VALIDATED DATASET!
Institution: Alfred Wegener Institut, Helmholtz Center for Polar and Marine Research
Station name: DBLK
WMO ID: 00067
PI: Holger Schmithüsen [holger.schmithuesen@awi.de]
Operator: Alina Herzog
Cruise: PS116


Coverage:	LATITUDE: 40.81954 * LONGITUDE: -11.52920
	DATE/TIME START: 2018-11-15T11:24:25 * DATE/TIME END: 2018-11-15T13:16:33
	MINIMUM ALTITUDE: 10m * MAXIMUM ALTITUDE: 33735m
*/
Altitude [m]	PPPP [hPa]	TTT [°C]	RH [%]	dd [deg]	ff [m/s]
7436	391.87	-30.91	55.6	197	4.5
7441	391.66	-30.94	56.7	197	4.5
7444	391.45	-30.97	57.9	197	4.5
7448	391.23	-31.00	58.7	197	4.4
7451	391.02	-31.03	58.9	197	4.4
7455	390.81	-31.05	58.8	197	4.3
7460	390.59	-31.08	58.6	197	4.3
7463	390.37	-31.12	58.6	197	4.3
7467	390.14	-31.15	58.7	197	4.2
7471	389.92	-31.18	58.9	197	4.2
7475	389.68	-31.21	59.0	198	4.1
7479	389.45	-31.25	59.0	198	4.1
7484	389.20	-31.28	59.0	198	4.1
7490	388.96	-31.31	59.0	198	4.0
7494	388.71	-31.35	58.7	199	4.0
7498	388.47	-31.38	58.2	199	4.0
7502	388.22	-31.41	57.7	199	3.9
7507	387.97	-31.44	57.6	200	3.9
7512	387.72	-31.47	57.9	200	3.9
7515	387.47	-31.50	58.3	200	3.8
7520	387.22	-31.53	58.6	201	3.8
7525	386.96	-31.56	58.6	201	3.7
7531	386.71	-31.59	58.5	201	3.7
7534	386.46	-31.62	58.2	202	3.7
7540	386.21	-31.65	57.9	202	3.6
7545	385.96	-31.68	57.3	202	3.6
7548	385.72	-31.71	56.3	202	3.6
7553	385.48	-31.74	55.2	202	3.5
7558	385.25	-31.76	54.3	202	3.5
7561	385.02	-31.79	53.8	203	3.5
7565	384.79	-31.82	53.7	203	3.5
7570	384.56	-31.85	53.7	203	3.4
7574	384.34	-31.88	53.8	203	3.4
7579	384.11	-31.91	53.8	203	3.4
7582	383.90	-31.94	53.7	203	3.3
7585	383.68	-31.97	53.6	203	3.3
7589	383.46	-32.01	53.8	203	3.3
7594	383.24	-32.05	53.7	202	3.3
7598	383.02	-32.08	53.4	202	3.3
7602	382.80	-32.11	52.8	202	3.2
7606	382.57	-32.15	52.3	202	3.2
7610	382.35	-32.18	52.3	202	3.2
7614	382.12	-32.21	52.8	202	3.2
7618	381.88	-32.24	53.2	202	3.2
7623	381.65	-32.27	53.5	202	3.2
7628	381.41	-32.29	53.6	201	3.2
7632	381.17	-32.32	53.7	201	3.2
7637	380.93	-32.34	53.9	201	3.2
7640	380.70	-32.38	54.0	201	3.2
7645	380.46	-32.41	54.1	201	3.2
7650	380.23	-32.44	54.2	201	3.2
7654	380.01	-32.47	54.3	200	3.2
7659	379.79	-32.50	54.3	200	3.2
7662	379.57	-32.53	54.1	200	3.2
7665	379.36	-32.56	53.8	200	3.2
7669	379.16	-32.59	53.5	200	3.2
7673	378.95	-32.62	53.3	200	3.2
7677	378.75	-32.65	53.2	200	3.2
7680	378.55	-32.69	53.2	200	3.2
7684	378.34	-32.73	53.3	200	3.2
7689	378.13	-32.77	53.3	200	3.2
7692	377.92	-32.80	53.2	200	3.2
7696	377.70	-32.84	53.2	200	3.2
7700	377.48	-32.88	53.3	200	3.2
7704	377.25	-32.92	53.3	200	3.2
7709	377.02	-32.95	53.0	200	3.2
7714	376.79	-32.99	52.2	201	3.2
7718	376.56	-33.02	51.4	201	3.1
7722	376.34	-33.06	51.0	201	3.1
7726	376.11	-33.09	51.0	201	3.1
7730	375.89	-33.13	51.0	201	3.1
7734	375.67	-33.16	51.0	201	3.1
7739	375.45	-33.19	50.9	201	3.0
7743	375.23	-33.22	50.8	201	3.0
7747	375.02	-33.24	50.7	201	3.0
7750	374.81	-33.28	50.9	201	2.9
7754	374.59	-33.31	51.2	202	2.9
7758	374.38	-33.35	51.5	202	2.9
7761	374.16	-33.40	51.7	202	2.9
7767	373.94	-33.44	51.7	202	2.8
7771	373.71	-33.48	51.5	202	2.8
7775	373.48	-33.52	51.3	202	2.8
7779	373.25	-33.55	50.9	202	2.7
7784	373.02	-33.58	50.5	202	2.7
7789	372.79	-33.61	50.1	202	2.7
7793	372.56	-33.63	50.0	202	2.6
7797	372.33	-33.66	50.0	202	2.6
7801	372.11	-33.69	50.2	202	2.6
7805	371.89	-33.74	50.5	202	2.6
7809	371.67	-33.78	50.9	202	2.5
7813	371.45	-33.82	51.2	202	2.5
7817	371.23	-33.87	51.5	203	2.5
7823	371.00	-33.91	51.6	203	2.5
7826	370.78	-33.95	51.7	203	2.5
7830	370.56	-33.99	51.7	203	2.5
7834	370.34	-34.03	51.7	204	2.4
7838	370.12	-34.07	51.7	204	2.4
7843	369.89	-34.11	51.7	205	2.4
7847	369.67	-34.14	51.6	205	2.4
7852	369.45	-34.18	51.5	206	2.4
7856	369.22	-34.21	51.4	207	2.4
7860	369.01	-34.25	51.3	207	2.4
7864	368.79	-34.29	51.2	208	2.4
7868	368.58	-34.32	51.2	209	2.4
7871	368.37	-34.36	51.2	209	2.4
7877	368.16	-34.39	51.2	210	2.4
7880	367.96	-34.42	51.1	211	2.5
7884	367.76	-34.45	51.1	212	2.5
7887	367.56	-34.48	51.1	212	2.5
7891	367.36	-34.51	51.2	213	2.5
7895	367.16	-34.54	51.3	214	2.5
7898	366.97	-34.58	51.4	214	2.5
7903	366.77	-34.62	51.6	215	2.5
7907	366.58	-34.66	51.9	216	2.5
7910	366.39	-34.69	52.1	217	2.5
7913	366.19	-34.73	52.3	217	2.5
7917	366.00	-34.76	52.4	218	2.5
7920	365.80	-34.79	52.7	219	2.5
7924	365.60	-34.83	53.0	219	2.5
7928	365.40	-34.87	53.3	220	2.5
7932	365.19	-34.90	53.6	220	2.5
7937	364.98	-34.94	53.8	221	2.5
7941	364.76	-34.98	54.1	222	2.5
7945	364.55	-35.02	54.2	222	2.5
7949	364.33	-35.06	54.1	223	2.5
7953	364.12	-35.09	53.5	224	2.5
7957	363.90	-35.11	52.3	224	2.4
7961	363.69	-35.14	50.7	225	2.4
7965	363.47	-35.17	49.2	226	2.4
7970	363.26	-35.20	48.0	226	2.4
7974	363.05	-35.23	47.3	227	2.4
7977	362.83	-35.25	46.9	228	2.4
7981	362.62	-35.28	47.0	228	2.4
7985	362.40	-35.30	47.3	229	2.4
7990	362.18	-35.32	47.0	230	2.4
7995	361.97	-35.33	45.5	231	2.4
7998	361.75	-35.35	43.1	231	2.3
8002	361.53	-35.37	41.0	232	2.3
8006	361.31	-35.39	40.1	233	2.3
8011	361.08	-35.41	40.1	234	2.3
8015	360.85	-35.43	40.6	235	2.3
8019	360.61	-35.45	41.2	236	2.4
8025	360.37	-35.47	41.6	237	2.4
8029	360.12	-35.49	41.9	239	2.4
8034	359.86	-35.52	42.2	240	2.4
8039	359.60	-35.56	42.5	241	2.4
8045	359.34	-35.60	42.8	242	2.4
8050	359.08	-35.64	42.9	243	2.5
8056	358.81	-35.68	42.6	244	2.5
8060	358.55	-35.71	42.3	245	2.5
8065	358.30	-35.74	42.2	246	2.6
8070	358.04	-35.78	42.4	247	2.6
8075	357.78	-35.82	42.7	248	2.6
8080	357.51	-35.86	43.0	249	2.7
8085	357.25	-35.90	43.0	250	2.7
8091	356.98	-35.94	42.9	251	2.8
8096	356.71	-35.99	42.9	251	2.8
8102	356.44	-36.04	43.1	252	2.9
8106	356.17	-36.10	43.4	252	3.0
8112	355.91	-36.15	43.6	253	3.0
8118	355.66	-36.19	43.7	253	3.1
8123	355.41	-36.23	43.6	254	3.1
8126	355.16	-36.26	43.4	254	3.2
8130	354.92	-36.29	43.3	255	3.2
8136	354.68	-36.33	43.4	255	3.2
8139	354.44	-36.37	43.4	256	3.3
8145	354.19	-36.41	43.4	256	3.3
8150	353.95	-36.45	43.4	257	3.4
8155	353.70	-36.49	43.4	257	3.4
8159	353.45	-36.54	43.5	257	3.4
8165	353.19	-36.58	43.5	258	3.5
8170	352.94	-36.62	43.8	259	3.5
8175	352.68	-36.67	44.1	259	3.5
8179	352.42	-36.72	44.0	260	3.5
8184	352.16	-36.76	43.8	261	3.6
8189	351.89	-36.81	43.8	261	3.6
8195	351.62	-36.86	44.0	262	3.6
8201	351.34	-36.91	44.4	263	3.6
8207	351.06	-36.96	44.9	264	3.6
8212	350.77	-37.01	45.6	265	3.6
8218	350.48	-37.06	46.4	266	3.7
8224	350.19	-37.11	47.1	267	3.7
8229	349.90	-37.16	47.6	268	3.7
8234	349.61	-37.21	48.4	269	3.7
8240	349.32	-37.26	49.4	270	3.7
8246	349.03	-37.32	50.6	271	3.7
8253	348.74	-37.38	51.2	272	3.7
8259	348.46	-37.44	51.2	273	3.7
8264	348.17	-37.49	50.7	274	3.7
8269	347.89	-37.54	50.2	274	3.7
8275	347.62	-37.59	50.1	275	3.7
8280	347.35	-37.64	50.6	276	3.8
8286	347.09	-37.69	51.6	277	3.8
8290	346.84	-37.74	52.7	278	3.7
8296	346.59	-37.79	53.3	278	3.7
8300	346.35	-37.83	53.4	279	3.7
8305	346.11	-37.88	53.3	280	3.7
8310	345.86	-37.92	53.3	280	3.7
8313	345.61	-37.97	53.8	281	3.7
8318	345.35	-38.02	54.9	281	3.7
8324	345.08	-38.08	56.1	282	3.7
8329	344.80	-38.16	57.0	282	3.7
8337	344.52	-38.24	57.4	282	3.7
8343	344.23	-38.29	57.2	283	3.7
8349	343.95	-38.33	56.7	283	3.7
8353	343.67	-38.38	56.2	283	3.8
8359	343.39	-38.42	56.2	283	3.8
8364	343.13	-38.47	56.5	283	3.8
8370	342.87	-38.53	57.0	283	3.8
8376	342.61	-38.58	57.1	283	3.8
8380	342.37	-38.62	56.9	282	3.8
8384	342.12	-38.67	56.7	282	3.9
8389	341.88	-38.71	57.2	282	3.9
8394	341.63	-38.76	58.4	281	3.9
8398	341.38	-38.82	59.9	281	3.9
8404	341.13	-38.88	61.3	280	4.0
8409	340.88	-38.94	62.1	280	4.0
8414	340.63	-38.99	62.2	279	4.0
8420	340.37	-39.04	62.0	279	4.1
8425	340.12	-39.08	61.6	278	4.1
8430	339.87	-39.12	61.3	277	4.1
8434	339.63	-39.16	61.4	277	4.1
8438	339.38	-39.20	61.9	276	4.2
8444	339.13	-39.24	62.8	276	4.2
8450	338.88	-39.28	63.5	275	4.2
8455	338.63	-39.32	63.8	274	4.2
8460	338.38	-39.37	63.8	274	4.2
8466	338.14	-39.41	63.8	273	4.2
8470	337.90	-39.45	63.8	272	4.2
8474	337.67	-39.49	63.8	272	4.2
8479	337.45	-39.53	64.2	271	4.2
8482	337.23	-39.57	64.9	271	4.1
8487	337.01	-39.61	66.2	270	4.1
8492	336.79	-39.66	67.5	270	4.1
8497	336.58	-39.70	68.4	269	4.1
8502	336.38	-39.73	68.6	269	4.1
8505	336.18	-39.76	68.0	268	4.0
8508	335.98	-39.78	66.8	268	4.0
8512	335.79	-39.80	65.2	268	4.0
8516	335.59	-39.82	63.4	268	3.9
8520	335.40	-39.84	61.8	267	3.9
8524	335.20	-39.87	60.4	267	3.9
8528	335.01	-39.89	59.2	267	3.9
8532	334.81	-39.92	58.7	267	3.8
8536	334.61	-39.96	58.8	267	3.8
8540	334.41	-39.99	59.2	267	3.8
8545	334.21	-40.03	59.6	267	3.8
8549	334.02	-40.06	59.8	267	3.8
8552	333.83	-40.09	59.6	267	3.7
8556	333.65	-40.12	59.2	268	3.7
8560	333.46	-40.15	59.0	268	3.7
8563	333.28	-40.18	59.0	268	3.7
8567	333.09	-40.21	59.3	269	3.7
8571	332.90	-40.25	59.8	269	3.7
8574	332.71	-40.28	60.3	270	3.7
8579	332.52	-40.32	60.5	270	3.7
8583	332.32	-40.36	60.3	270	3.7
8587	332.13	-40.39	59.9	271	3.7
8591	331.93	-40.43	59.5	271	3.7
8596	331.74	-40.47	59.3	272	3.7
8599	331.55	-40.50	59.3	272	3.7
8602	331.36	-40.54	59.4	272	3.7
8607	331.18	-40.57	59.5	273	3.7
8610	330.99	-40.61	59.6	273	3.7
8614	330.80	-40.64	59.4	273	3.7
8618	330.61	-40.68	59.1	274	3.7
8622	330.41	-40.72	58.8	274	3.7
8626	330.22	-40.76	58.7	274	3.7
8630	330.02	-40.80	58.7	274	3.7
8634	329.82	-40.84	58.5	274	3.7
8638	329.61	-40.88	58.0	274	3.7
8643	329.39	-40.92	57.4	274	3.7
8647	329.17	-40.97	57.1	274	3.7
8651	328.95	-41.01	57.1	273	3.7
8657	328.71	-41.05	57.3	273	3.7
8662	328.47	-41.10	57.6	273	3.7
8667	328.22	-41.14	57.7	272	3.7
8673	327.96	-41.20	57.6	272	3.7
8678	327.71	-41.25	57.5	272	3.7
8683	327.45	-41.30	57.6	271	3.8
8689	327.20	-41.36	57.9	271	3.8
8694	326.95	-41.41	58.3	270	3.8
8700	326.71	-41.45	58.6	270	3.8
8704	326.47	-41.49	58.5	269	3.8
8708	326.23	-41.53	58.3	269	3.8
8713	326.00	-41.57	57.8	269	3.9
8718	325.77	-41.62	57.2	268	3.9
8723	325.54	-41.66	56.8	268	3.9
8729	325.31	-41.70	56.5	267	3.9
8733	325.08	-41.75	56.2	267	3.9
8737	324.86	-41.79	55.9	267	3.9
8742	324.63	-41.83	55.8	266	3.9
8746	324.39	-41.88	56.0	266	3.9
8752	324.16	-41.93	56.6	265	3.9
8757	323.92	-41.98	57.2	265	3.9
8762	323.67	-42.03	57.6	265	3.9
8767	323.42	-42.07	57.6	264	3.9
8772	323.17	-42.11	57.5	264	3.9
8777	322.91	-42.16	57.6	263	3.8
8783	322.65	-42.22	58.0	263	3.8
8789	322.39	-42.28	58.5	262	3.8
8794	322.12	-42.33	58.9	262	3.8
8801	321.86	-42.39	59.1	261	3.8
8807	321.61	-42.44	59.1	260	3.7
8812	321.36	-42.49	59.1	260	3.7
8816	321.11	-42.53	59.1	259	3.7
8820	320.88	-42.57	59.0	258	3.7
8825	320.64	-42.62	59.1	258	3.6
8831	320.41	-42.67	59.3	257	3.6
8836	320.18	-42.72	59.4	256	3.6
8840	319.95	-42.76	59.4	255	3.5
8845	319.72	-42.81	59.0	254	3.5
8850	319.50	-42.85	58.5	253	3.5
8854	319.27	-42.89	57.9	252	3.4
8858	319.05	-42.92	57.1	251	3.4
8864	318.83	-42.96	56.2	250	3.3
8869	318.60	-42.99	55.6	249	3.3
8873	318.38	-43.02	55.4	248	3.2
8878	318.16	-43.06	55.5	247	3.2
8883	317.94	-43.11	55.9	246	3.1
8888	317.71	-43.16	56.5	245	3.1
8892	317.49	-43.20	57.2	244	3.0
8896	317.27	-43.25	58.1	242	3.0
8901	317.04	-43.31	59.0	241	2.9
8907	316.82	-43.36	59.9	240	2.9
8912	316.60	-43.40	60.4	238	2.9
8916	316.37	-43.44	60.6	237	2.8
8921	316.15	-43.49	60.3	236	2.8
8926	315.93	-43.53	60.0	235	2.7
8929	315.72	-43.58	59.8	233	2.7
8934	315.51	-43.62	59.7	232	2.7
8939	315.29	-43.66	59.8	231	2.6
8944	315.09	-43.71	59.9	230	2.6
8948	314.88	-43.75	60.1	229	2.6
8952	314.68	-43.79	60.4	228	2.5
8956	314.47	-43.84	60.7	227	2.5
8961	314.27	-43.87	60.9	226	2.5
8965	314.07	-43.90	60.7	226	2.5
8970	313.87	-43.94	60.3	225	2.4
8974	313.67	-43.97	59.7	224	2.4
8978	313.47	-44.01	59.1	224	2.4
8982	313.27	-44.05	58.6	223	2.4
8986	313.07	-44.09	58.1	223	2.4
8990	312.87	-44.12	58.0	223	2.4
8995	312.66	-44.15	58.2	222	2.4
9000	312.45	-44.18	58.5	222	2.4
9004	312.24	-44.21	59.1	222	2.4
9008	312.03	-44.25	59.9	221	2.3
9012	311.81	-44.30	60.8	221	2.3
9018	311.59	-44.34	61.7	220	2.3
9023	311.38	-44.37	62.3	220	2.3
9028	311.16	-44.39	62.6	219	2.3
9033	310.94	-44.41	62.3	219	2.3
9037	310.72	-44.44	61.7	218	2.3
9041	310.51	-44.46	61.0	217	2.4
9046	310.29	-44.48	60.4	216	2.4
9051	310.08	-44.50	59.9	215	2.4
9056	309.86	-44.52	59.5	214	2.4
9059	309.65	-44.54	59.2	213	2.4
9064	309.43	-44.56	59.1	212	2.4
9068	309.21	-44.58	59.2	211	2.4
9074	308.99	-44.62	59.7	210	2.4
9080	308.77	-44.65	60.4	209	2.5
9085	308.55	-44.68	61.1	208	2.5
9090	308.34	-44.72	61.5	207	2.5
9093	308.13	-44.74	61.5	206	2.6
9097	307.92	-44.77	61.2	205	2.6
9101	307.71	-44.80	60.6	204	2.6
9106	307.50	-44.83	59.9	203	2.7
9111	307.28	-44.85	59.3	202	2.7
9116	307.06	-44.87	58.9	201	2.7
9120	306.83	-44.90	58.7	200	2.8
9126	306.59	-44.93	58.7	200	2.8
9132	306.36	-44.96	58.7	199	2.8
9138	306.12	-44.98	58.7	199	2.9
9143	305.89	-44.99	58.5	198	2.9
9147	305.66	-45.00	58.3	198	2.9
9151	305.44	-45.00	57.9	198	3.0
9156	305.22	-45.02	57.5	198	3.0
9161	305.00	-45.04	57.2	198	3.0
9165	304.78	-45.07	57.3	198	3.1
9170	304.56	-45.11	57.8	198	3.1
9176	304.33	-45.14	58.3	198	3.1
9180	304.10	-45.16	58.8	198	3.2
9186	303.87	-45.19	58.9	199	3.2
9191	303.63	-45.22	58.6	199	3.3
9197	303.40	-45.25	58.0	199	3.3
9202	303.18	-45.29	57.5	200	3.4
9207	302.95	-45.34	57.2	200	3.4
9211	302.74	-45.38	57.0	201	3.5
9215	302.53	-45.42	57.0	201	3.5
9221	302.32	-45.46	57.0	202	3.6
9225	302.12	-45.50	57.0	202	3.7
9229	301.92	-45.54	57.1	203	3.7
9233	301.73	-45.57	57.1	203	3.8
9236	301.53	-45.61	57.0	203	3.9
9242	301.34	-45.65	56.8	204	3.9
9246	301.15	-45.68	56.7	204	4.0
9250	300.96	-45.71	56.6	204	4.1
9254	300.77	-45.74	56.5	205	4.2
9259	300.58	-45.77	56.6	205	4.2
9263	300.40	-45.81	56.8	205	4.3
9267	300.22	-45.84	56.9	205	4.4
9271	300.04	-45.86	57.0	205	4.5
9275	299.87	-45.88	56.9	205	4.5
9278	299.70	-45.89	56.8	205	4.6
9281	299.53	-45.90	56.6	205	4.7
9285	299.36	-45.93	56.4	205	4.7
9289	299.19	-45.95	56.2	205	4.8
9292	299.01	-45.98	56.1	205	4.8
9296	298.83	-46.01	56.1	205	4.9
9301	298.63	-46.03	56.2	205	4.9
9306	298.43	-46.05	56.3	205	5.0
9311	298.23	-46.07	56.4	204	5.0
9315	298.03	-46.09	56.5	204	5.0
9320	297.83	-46.10	56.7	204	5.1
9325	297.63	-46.13	56.9	204	5.1
9328	297.44	-46.16	57.0	204	5.1
9332	297.25	-46.19	57.1	203	5.1
9337	297.07	-46.21	57.2	203	5.2
9341	296.89	-46.24	57.1	203	5.2
9346	296.72	-46.27	57.0	203	5.2
9349	296.55	-46.30	56.8	202	5.2
9352	296.39	-46.32	56.5	202	5.2
9355	296.23	-46.34	56.2	202	5.2
9359	296.08	-46.36	55.9	202	5.2
9362	295.92	-46.39	55.7	202	5.2
9365	295.76	-46.41	55.6	202	5.2
9369	295.60	-46.43	55.5	201	5.3
9372	295.43	-46.44	55.5	201	5.3
9377	295.26	-46.45	55.6	201	5.3
9380	295.09	-46.44	55.6	201	5.3
9385	294.91	-46.43	55.7	201	5.3
9389	294.73	-46.42	55.9	201	5.3
9394	294.56	-46.42	56.4	201	5.3
9398	294.38	-46.43	57.3	201	5.3
9400	294.21	-46.45	58.3	201	5.3
9405	294.04	-46.48	59.3	201	5.3
9408	293.88	-46.52	60.1	201	5.3
9412	293.71	-46.55	60.6	201	5.3
9417	293.54	-46.58	60.6	201	5.4
9419	293.38	-46.61	60.0	201	5.4
9423	293.21	-46.63	59.0	201	5.4
9427	293.04	-46.65	57.8	201	5.4
9431	292.86	-46.68	56.6	201	5.4
9435	292.69	-46.70	55.4	201	5.4
9439	292.51	-46.71	54.4	201	5.5
9443	292.33	-46.73	53.4	201	5.5
9448	292.15	-46.75	52.9	201	5.5
9452	291.97	-46.78	53.1	201	5.5
9456	291.79	-46.81	53.6	200	5.6
9460	291.62	-46.85	54.1	200	5.6
9464	291.45	-46.88	54.5	200	5.6
9467	291.28	-46.90	54.6	200	5.6
9471	291.11	-46.92	54.6	200	5.7
9474	290.95	-46.93	54.4	200	5.7
9477	290.78	-46.94	54.4	200	5.7
9483	290.61	-46.96	54.4	200	5.8
9486	290.43	-47.02	54.5	200	5.8
9490	290.26	-47.08	54.6	200	5.8
9494	290.08	-47.12	54.8	199	5.8
9499	289.91	-47.15	55.0	199	5.9
9502	289.74	-47.19	55.2	199	5.9
9506	289.57	-47.24	55.1	199	5.9
9510	289.40	-47.29	54.8	199	6.0
9514	289.23	-47.30	54.4	199	6.0
9518	289.07	-47.29	53.8	199	6.0
9521	288.91	-47.29	53.3	199	6.1
9525	288.75	-47.31	52.9	198	6.1
9528	288.59	-47.36	52.7	198	6.1
9531	288.42	-47.42	52.7	198	6.1
9536	288.26	-47.48	52.8	198	6.2
9540	288.09	-47.54	53.1	198	6.2
9544	287.92	-47.56	53.4	198	6.2
9548	287.75	-47.56	53.7	198	6.2
9552	287.57	-47.55	53.8	198	6.2
9556	287.40	-47.57	53.8	198	6.2
9559	287.23	-47.61	53.7	198	6.3
9563	287.05	-47.66	53.5	198	6.3
9567	286.87	-47.72	53.5	197	6.3
9572	286.69	-47.77	53.6	197	6.3
9576	286.50	-47.81	53.9	197	6.3
9580	286.31	-47.84	54.3	197	6.3
9585	286.11	-47.87	54.7	197	6.4
9590	285.91	-47.91	55.0	197	6.4
9595	285.71	-47.95	55.2	197	6.4
9599	285.51	-47.99	55.4	197	6.4
9604	285.31	-48.04	55.5	197	6.4
9608	285.11	-48.09	55.4	197	6.5
9613	284.90	-48.13	55.1	197	6.5
9618	284.69	-48.16	54.4	197	6.5
9622	284.47	-48.19	53.1	197	6.5
9628	284.25	-48.23	51.4	197	6.6
9633	284.03	-48.28	49.5	196	6.6
9639	283.80	-48.33	47.4	196	6.6
9644	283.58	-48.37	45.2	196	6.7
9649	283.35	-48.40	43.4	196	6.7
9655	283.12	-48.43	42.3	196	6.8
9660	282.90	-48.48	41.7	196	6.8
9665	282.67	-48.52	41.6	195	6.8
9670	282.45	-48.58	41.6	195	6.9
9675	282.22	-48.63	41.7	195	6.9
9681	282.00	-48.69	42.0	195	7.0
9687	281.78	-48.73	42.5	195	7.0
9691	281.57	-48.78	43.1	195	7.1
9696	281.36	-48.82	43.7	194	7.1
9701	281.16	-48.86	44.2	194	7.1
9706	280.97	-48.90	44.6	194	7.2
9709	280.78	-48.94	44.9	194	7.2
9714	280.60	-48.98	45.2	194	7.2
9718	280.43	-49.02	45.6	194	7.3
9722	280.25	-49.07	45.9	193	7.3
9726	280.09	-49.11	46.1	193	7.3
9729	279.92	-49.14	46.1	193	7.3
9733	279.76	-49.17	45.8	193	7.3
9738	279.60	-49.20	45.4	193	7.3
9742	279.44	-49.23	45.1	193	7.3
9745	279.28	-49.27	45.1	193	7.3
9748	279.13	-49.31	45.4	193	7.3
9751	278.97	-49.34	45.8	193	7.3
9755	278.81	-49.38	46.4	193	7.3
9759	278.65	-49.42	47.0	193	7.3
9762	278.48	-49.46	47.6	193	7.2
9767	278.31	-49.51	48.1	193	7.2
9771	278.14	-49.55	48.5	193	7.2
9775	277.96	-49.59	48.6	193	7.2
9779	277.77	-49.63	48.6	193	7.1
9784	277.59	-49.68	48.6	193	7.1
9789	277.40	-49.71	48.6	193	7.1
9794	277.22	-49.74	48.6	193	7.0
9798	277.04	-49.77	48.7	193	7.0
9802	276.86	-49.81	48.8	193	6.9
9805	276.69	-49.85	48.9	193	6.9
9809	276.53	-49.89	49.0	193	6.9
9813	276.36	-49.94	49.1	193	6.8
9817	276.20	-49.98	49.3	193	6.8
9821	276.03	-50.02	49.6	193	6.8
9825	275.87	-50.05	49.9	193	6.8
9828	275.70	-50.09	50.1	193	6.7
9833	275.54	-50.13	50.3	193	6.7
9837	275.38	-50.17	50.6	193	6.7
9840	275.21	-50.21	50.9	193	6.6
9844	275.05	-50.24	51.3	193	6.6
9848	274.89	-50.28	51.8	193	6.6
9852	274.73	-50.32	52.3	193	6.6
9856	274.57	-50.35	52.7	193	6.5
9860	274.41	-50.39	53.2	193	6.5
9863	274.26	-50.42	53.7	193	6.5
9867	274.11	-50.45	54.1	193	6.5
9870	273.96	-50.49	54.4	193	6.4
9873	273.80	-50.52	54.7	193	6.4
9877	273.64	-50.56	54.9	193	6.4
9881	273.48	-50.59	55.1	193	6.4
9885	273.32	-50.63	55.1	192	6.3
9889	273.15	-50.68	55.2	192	6.3
9894	272.99	-50.71	55.2	192	6.3
9897	272.82	-50.75	55.2	192	6.3
9902	272.66	-50.78	55.2	192	6.3
9905	272.50	-50.82	55.2	192	6.2
9909	272.34	-50.85	55.1	192	6.2
9912	272.18	-50.89	54.9	191	6.2
9916	272.03	-50.92	54.8	191	6.2
9920	271.87	-50.94	54.7	191	6.2
9923	271.71	-50.97	54.6	191	6.1
9927	271.56	-51.02	54.5	190	6.1
9931	271.39	-51.07	54.4	190	6.1
9935	271.23	-51.11	54.4	190	6.1
9939	271.07	-51.13	54.4	189	6.1
9943	270.90	-51.16	54.3	189	6.1
9947	270.73	-51.21	54.2	189	6.1
9951	270.57	-51.27	54.1	188	6.1
9955	270.40	-51.32	54.0	188	6.1
9959	270.23	-51.34	53.8	187	6.1
9964	270.06	-51.34	53.5	187	6.1
9967	269.90	-51.35	53.3	186	6.1
9972	269.73	-51.38	53.0	186	6.1
9976	269.57	-51.41	52.7	185	6.1
9979	269.41	-51.46	52.4	184	6.1
9982	269.25	-51.51	52.1	184	6.1
9987	269.09	-51.57	51.8	183	6.1
9991	268.93	-51.61	51.4	182	6.1
9994	268.77	-51.64	51.0	182	6.2
9998	268.61	-51.65	50.5	181	6.2
10002	268.45	-51.65	49.8	180	6.2
10006	268.29	-51.66	48.9	180	6.2
10011	268.13	-51.68	47.7	179	6.2
10014	267.97	-51.71	46.3	178	6.2
10018	267.81	-51.73	44.7	177	6.2
10022	267.65	-51.76	43.2	177	6.3
10026	267.49	-51.79	41.9	176	6.3
10028	267.33	-51.82	40.8	175	6.3
10033	267.17	-51.87	39.9	175	6.3
10037	267.01	-51.92	39.1	174	6.3
10041	266.85	-51.97	38.4	173	6.3
10045	266.68	-51.99	38.0	173	6.3
10048	266.52	-52.00	37.9	172	6.3
10053	266.36	-52.01	38.0	172	6.4
10057	266.20	-52.01	38.4	171	6.4
10061	266.05	-52.01	38.9	171	6.4
10064	265.89	-52.00	39.7	170	6.4
10067	265.73	-52.00	40.6	170	6.4
10072	265.57	-52.02	41.6	169	6.4
10075	265.42	-52.06	42.8	169	6.4
10079	265.25	-52.09	44.0	168	6.4
10084	265.09	-52.12	45.3	168	6.4
10088	264.93	-52.14	46.7	168	6.4
10092	264.77	-52.16	48.0	167	6.4
10095	264.61	-52.17	49.1	167	6.4
10100	264.45	-52.19	50.1	167	6.4
10103	264.29	-52.22	50.9	167	6.4
10106	264.13	-52.27	51.4	166	6.5
10111	263.97	-52.34	51.8	166	6.5
10115	263.81	-52.41	52.0	166	6.5
10119	263.65	-52.49	52.2	166	6.5
10123	263.50	-52.54	52.1	165	6.5
10127	263.34	-52.55	51.8	165	6.6
10130	263.19	-52.54	51.4	165	6.6
10134	263.04	-52.52	50.8	165	6.6
10137	262.89	-52.52	50.0	164	6.6
